chapter,word,definition
1,-itis,inflammation
1,-logist,one who studies
1,-logy,study of
1,-scopy,visual examination
1,-desis,fixation
1,-plasty,surgical repair
1,-chezia,pass a stool
1,-crit,to separate
1,-gram,record
1,-graph,instrument for recording
1,-lysis,destruction
1,-oma,"tumor, mass"
1,-philia,attraction
1,-ptysis,spit
1,-rrhage,to flow profusely
1,-rrhoid,to flow
1,-uria,urine
1,hemat/ochezia,passage of a bloody stool
1,hemat/ocrit,percentage of red blood cells in the blood
1,cardi/ogram,record derived from the heart
1,cardi/ograph,instrument for recording the heart
1,hem/olysis,destruction of red blood cells
1,hematoma (Figure 1.2),collection of blood in a tissue
1,hem/ophilia,an inherited blood disease
1,hem/optysis,to cough up bloody sputum
1,hem/orrhage,to bleed profusely
1,hem/orrhoid,painful anal swelling of venous blood
1,hematuria,blood in the urine
1,dermatitis,inflammation of the skin
1,dermatologist,"one who studies the skin, specialist in dermatology"
1,dermatology,study of the skin
1,arthroscopy,visual examination of a joint
1,arthrodesis,fixation of a joint
1,arthroplasty,repair of a joint
1,-centesis,surgical puncture
1,-desis,fixation
1,-ectomy,surgical removal
1,-plasty,surgical repair
1,-rrhaphy,surgical suture
1,-stomy,surgical formation of an opening
1,-tomy,surgical incision
1,-tripsy,crushing
1,arthr/ocentesis,surgical puncture of a joint space with a needle
1,arthr/odesis,surgical fixation of the bones of a joint
1,appendectomy,surgical removal of the appendix
1,rhin/oplasty,surgical repair of the nose
1,herni/orrhaphy,surgical suture of a hernia
1,trache/ostomy,surgical formation of an artificial opening into the trachea into which a tube is inserted
1,trache/otomy,surgical incision into the trachea
1,lith/otripsy,"crushing of a stone (calculus), for example, in the ureters"
1,-algia,pain
1,-ectasis,dilation
1,-edema,accumulation of fluid in tissues
1,-emesis,vomiting
1,-genesis,"form, produce"
1,-itis,inflammation
1,-oma,"tumor, mass"
1,-osis,abnormal condition
1,-pathy,disease
1,-penia,"deficiency, lack of"
1,-phobia,fear of
1,-stenosis,narrowing
1,arthralgia,pain in a joint(s)
1,bronchiectasis,chronic dilation of bronchi
1,lymphedema,swelling in tissues as a result of obstruction of lymphatic vessels
1,hematemesis,vomiting of blood
1,oste/ogenesis,formation of new bone
1,cystitis,inflammation of the urinary bladder
1,hematoma,mass of blood leaked outside blood vessels into tissues
1,cyanosis,dark blue coloration of blood due to lack of oxygen
1,neur/opathy,any disease of the nervous system
1,erythr/openia,decrease in red blood cells
1,agoraphobia,an unfounded fear of public places that arouses a state of panic
1,arteri/ostenosis,abnormal narrowing of an artery
1,-iatry,"treatment, medical specialty"
1,-ician,"expert, specialist"
1,-icle,"small, minute"
1,-ist,"expert, specialist"
1,-istry,medical specialty
1,-ole,"small, minute"
1,-ule,"small, minute"
1,psychiatry,diagnosis and treatment of mental disorders
1,pediatrician,medical specialist in children’s development and disorders
1,ossicle,"small bone, relating to the three small bones in the middle ear"
1,dentist,specialist in disorders of the orofacial complex
1,dentistry,specialty in disorders of the orofacial complex
1,arteriole,small artery
1,venule,small vein
1,peri-,around
1,endo-,inside
1,pericardium,structure around the heart
1,endocardium,structure inside the heart
1,epi-,above
1,hypo-,below
1,endo-,inside
1,epigastric,pertaining to above the stomach
1,hypogastric,pertaining to below the stomach
1,endogastric,pertaining to inside the stomach
1,ante-,"before, forward"
1,anti-,against
1,circum-,around
1,endo-,"inside, inner"
1,epi-,"above, over, upon"
1,exo-,"outside, outward"
1,hyper-,"above, excessive"
1,hypo-,below
1,inter-,between
1,intra-,"inside, within"
1,para-,"adjacent, alongside"
1,peri-,around
1,post-,after
1,pre-,before
1,retro-,backward
1,supra-,"above, excessive"
1,trans-,"across, through"
1,ultra-,"higher, beyond"
1,antevert,"to tilt forward, as a uterus can"
1,antibiotic,an agent that can destroy bacteria and other microorganisms
1,circumcision,to cut around the penis to remove the foreskin
1,endocrine,a gland that secretes directly into the blood
1,epidermis,the top layer of the skin
1,exocrine,a gland that excretes outwardly through ducts
1,hypertrophy,increase in size
1,hypodermis,tissue layer below the top layer of the skin
1,intercostal,the space between two ribs
1,intradermal,within the skin
1,paranoid,having delusions of persecution
1,perinatal,around the time of birth
1,postnatal,after the time of birth
1,prenatal,before the time of birth
1,retrovert,"to tilt backward, as a uterus can"
1,suprapubic,above the pubic bone
1,transdermal,going across or through the skin
1,ultrasound,very high-frequency sound waves
1,bi-,"two, twice, double"
1,brady-,slow
1,di-,two
1,eu-,normal
1,hemi-,half
1,macro-,large
1,micro-,small
1,mono-,"single, one"
1,multi-,many
1,pan-,all
1,poly-,excessive
1,primi-,first
1,quadri-,four
1,tachy-,rapid
1,tri-,three
1,uni-,"single, one"
1,bilateral,pertaining to or related to two sides of the body
1,bradycardia,slow heart rate
1,diplegia,paralysis of corresponding parts on both sides of the body
1,eupnea,normal breathing
1,hemiparesis,weakness of one side (half) of the body
1,macrocyte,large red blood cell
1,microcyte,small red blood cell
1,monocyte,white blood cell with a single nucleus
1,multipara,woman who has given birth at least twice
1,pancytopenia,deficiency of all types of blood cells
1,polyuria,excessive production of urine
1,primipara,woman who has given birth for the first time
1,quadriplegia,paralysis of all four limbs
1,tachycardia,rapid heart rate
1,tricuspid,having three points-a tricuspid heart valve has three flaps
1,unipolar,pertaining to one pole; neuron having a single process
1,ab-,away from
