word,definition,chapter
Arthr-,joint or speech,1
Bronch-,bronchus,1
Cardi-,heart,1
Derm or dermat,skin,1
Gastro-,stomach,1
Ger or gernot,aged,1
Hem or hemato,blood,1
Hep or hepat,liver,1
Neur-,nerve cell or nervous system,1
Oste-,bone,1
Path-,disease,1
psych-,mind,1
mast-,breast,1
nat-,birth,1
Suffixes (S),-Always comes at the end of the word -Adds meaning to the word -Not all terms have a suffix,1
Four Functional Categories of Suffixes,"1. Describe a medical condition 2. Describe diagnostic terms, tests, or surgical procedures 3. Signify a medical specialty or specialist 4. Convert a noun to an adjective",1
-algia,pain,1
-dynia,pain,1
-emia,blood,1
-ism,condition of,1
-itis,inflammation,1
-malacia,softening,1
-megaly,enlargement,1
-oma,tumor,1
-osis,condition of,1
-penia,reduction in size/quantity,1
-plegia,paralysis,1
-pnea,breathing,1
-porosis,porous condition,1
-ptosis,downward displacement,1
-rrhage,flowing forth,1
-rrhea,discharge,1
-spasm,muscular contraction,1
-edema,excessive fluid,1
-centesis,surgical puncture,1
-ectomy,surgical removal,1
"-gen, -genic, -genesis","origin, producing",1
-gram,record,1
-graph,device for recording,1
-graphy,act of recording,1
-meter,device for measuring,1
-plasty,surgical repair,1
-scope,device for viewing,1
-tomy,incision,1
-desis,surgical binding,1
-ian,specialist,1
-iatrics,medical specialist,1
-iatry or -ics,medical specialty,1
-ist,specialist in a field of study,1
-logy,study of,1
Converting a noun to adjective,-replace x with c (ex. appendix; appendices) -drop y & add -ic (ex. psychiatry; psychiatric hospital) -drop e & add ic (ex. arthroscope; arthroscopic surgery) -drop s (ex. pediatrics; pediatric medicine),1
"-ac, -al, -ar, -ia, -ic, -ory",pertaining to,1
-cyte,cell,1
Prefixes (P),Always comes at beginning of the word,1
Categories of Prefixes,1. Time or speed 2. Direction 3. Position 4. Size or number,1
"ante-, pre-",before,1
anti-,against,1
brady-,slow,1
neo-,new,1
post-,after,1
tachy-,fast,1
"hyper-, supra-","above, beyond normal, excessive",1
hypo-,"below, below normal",1
ab-,"away from, outside of, beyond",1
ad-,"toward, near to",1
"con-, sym-, syn-",with,1
contra-,against,1
dia-,"across, through",1
"ec-, ecto, ex-, exo-","outside, out, away from",1
"en-, endo-, intra-","toward, near to, within, inner",1
endo-,within,1
